tweet_id,thread_id,author_id,created_at,text,context_json,historical_reply,sampling_stratum,suggested_intent,suggested_intent_reason,suggested_escalate,suggested_escalation_reason,suggested_escalation_explanation,suggested_reply_should_include,suggested_reply_must_not_claim,suggested_by_model,intent,escalate,escalation_reason,reply_should_include,reply_must_not_claim,annotator_notes,annotation_method,human_verified,primary_intent,primary_escalate,primary_escalation_reason
1426071,1426071,451296,Sat Nov 25 16:43:49 +0000 2017,Thank you to the team @SpotifyCares to sort my problem out. Awesome customer service 👍#Spotify #spotifycares #CustomerService,[],"@451296 Aww, you made us blush! Glad to see everything worked out. If there's anything else we can help with, just say the word. Otherwise, have a... https://t.co/BsTYLlFHDH 😉 /MT",representative,,,,,,,,,feedback_other,true,low_evidence,,,,independent_human,true,feedback_other,false,none
620317,620317,267231,Wed Nov 22 15:13:25 +0000 2017,"@SpotifyCares Hey guys, you really should consider including release date of the songs, so it would be easier to sort by year. Making it much easier to create playlists from my songs based on decades. I think it would be really cool on Spotify for PC. ;)",[],@267231 Hey! We've just sent you a DM 🙂 /MX,representative,,,,,,,,,app_device_features,false,none,,,,independent_human,true,feedback_other,false,none
72093,72091,743336,Sun Nov 26 20:20:31 +0000 2017,@115888 Varför kan man inte betala med iTunes? Jag har bara iTunes. Kan ni inte fixa det? Hade varit grymt! :-),"[{""tweet_id"": ""72091"", ""author_id"": ""115888"", ""inbound"": true, ""text"": ""3 månader Premium kostar bara 9,00 kr. Lyssna på musik offline vart du än går. https://t.co/OBLthO5jlx""}]","@743336 Hi there! We can help out in English via Twitter, but we also have Swedish support via email at https://t.co/ZgU70TbP8M /NJ",representative,,,,,,,,,payments_refunds,true,billing_or_refund,,,,independent_human,true,payments_refunds,false,none
620439,620439,267263,Wed Nov 22 14:20:34 +0000 2017,"@SpotifyCares Is it possible to delete my debit card from spotify after i have payed for it, without canceling the order?",[],"@267263 Hi there! No worries, you can cancel anytime by heading to https://t.co/j3mV2PlkwS. Your account will revert to Free once your remaining Premium time lapses. Let us know if you have any questions /WW",representative,,,,,,,,,payments_refunds,true,privacy_or_sensitive_data,,,,independent_human,true,payments_refunds,false,none
2905912,2905912,804697,Tue Nov 28 18:02:32 +0000 2017,Sooo I just made a spot if account and tried to get the 3 months for .99 and it charged me.. then said I already used Spotify premium when I just made the account but took the money off card and no premium @115888 @SpotifyCares,[],"@804697 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",challenge_sensitive,,,,,,,,,payments_refunds,true,billing_or_refund,,,,independent_human,true,payments_refunds,true,billing_or_refund
538069,538069,244745,Sat Dec 02 03:11:24 +0000 2017,"@SpotifyCares hello, I was trying to get the $1 deal from you guys and instead charged me $10 what’s with that? Thank you.",[],@244744 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,representative,,,,,,,,,payments_refunds,true,billing_or_refund,,,,independent_human,true,payments_refunds,true,billing_or_refund
2970780,2970780,819433,Thu Nov 30 00:43:41 +0000 2017,@115888 why does my iOS app keep randomly pausing and I have to restart it every time someone calls?!😭😖,[],"@819433 Hey Matt! That's not cool. Can you let us know what exact iPhone model, iOS, and Spotify versions you're using? We'll see what we can suggest /CH",challenge_rare,,,,,,,,,playback_connectivity,false,none,,,,independent_human,true,app_device_features,false,none
2913904,2913904,656011,Tue Nov 28 20:39:30 +0000 2017,@115888 what's goin on with the app yo?,[],"@656011 Hey. We had a little hiccup earlier, but everything should be running as smooth as Smooth Jazz now! /JE",representative,,,,,,,,,app_device_features,false,none,,,,independent_human,true,app_device_features,false,none
637758,637758,271222,Wed Nov 22 19:29:26 +0000 2017,@SpotifyCares @115888 @117168 you should make it possible for users to rearrange the order of songs in their playlists without having to delete the entire playlist. Make this happen please.,[],@271222 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /JX,representative,,,,,,,,,app_device_features,false,none,,,,independent_human,true,feedback_other,false,none
175483,175483,157219,Fri Nov 24 23:24:13 +0000 2017,@118266 halo saya mau daftar premium spotify pakai indosat kok gak nerima sms utk pinnya ya? udh saya tunggu &amp; cb berkali2 gak bisa. pdhl biasanya lancar aja. gmn solusinya? thanks 😀,[],"@157219 Hey! We can help out in English via Twitter, but we also have Indinesian support via email at https://t.co/ZgU70TbP8M /RB",representative,,,,,,,,,plan_management_eligibility,true,unsupported_language,,,,independent_human,true,payments_refunds,true,unsupported_language
